Product image,Wine name,Price,Country of origin,Wine type,Popularity rating,Occasions,Year
,Vermentino 2017,"5,65",Italy,White,"3,8",Milestone Birthday,2017
,Ronco Broilo 2010,"44,9",Italy,White,"4,3",Engagement Proposal,2010
,Weisser Schiefer s 2017,"33,25",Austria,White,"4,2",Wedding Toast,2017
,Chardonnay 2018,"8,99",Germany,White,"3,9",Wedding Anniversary,2018
,Maganza Zibibbo 2018,"8,6",Italy,White,"3,9",First Housewarming,2018
,Chardonnay 2019,"15,9",Germany,White,"3,7",College Graduation,2019
,Goldloch Riesling GG 2016,"33,9",Germany,White,"4,1",Advanced Degree,2016
,Kieselberg GG 2015,"33,95",Germany,White,"4,1",Retirement Party,2015
,Catarratto 2019,5,Italy,White,"3,8",Passing Board Exam,2019
,Safari Pecorino 2017,"6,74",Italy,White,"3,4",Baby Shower,2017
,Sauvignon Veneto 2019,"6,77",Italy,White,"3,8",Push Present,2019
,Berg Riesling 2018,"15,9",France,White,"4,2",New Lease,2018
,Grechetto 2018,"8,9",Italy,White,"3,6",Marathon Finish,2018
,Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,"38,94",Germany,White,"4,3",New Job,2018
,Unterebner Pinot Grigio 2018,"20,37",Italy,White,"3,7",,2018
,Pomerol 2011,95,France,Red,"4,2",Milestone Birthday,2011
,Lirac 2017,"15,5",France,Red,"4,3",Engagement Proposal,2017
,Erta e China Rosso di Toscana 2015,"7,45",Italy,Red,"3,9",Wedding Toast,2015
,Bardolino 2019,"8,72",Italy,Red,"3,5",Wedding Anniversary,2019
,Ried Scheibner Pinot Noir 2016,"29,15",Austria,Red,"3,9",First Housewarming,2016
,Gigondas (Nobles Terrasses) 2017,"19,9",France,Red,"3,7",College Graduation,2017
,Marion's Vineyard Pinot Noir 2016,"43,87",New Zealand,Red,4,Advanced Degree,2016
,Red Blend 2014,"17,52",Chile,Red,"3,9",Retirement Party,2014
,Chianti 2015,"10,75",Italy,Red,"3,6",Passing Board Exam,2015
,Tradition 2014,"6,9",France,Red,"3,5",Baby Shower,2014
,Chianti Riserva 2013,"20,95",Italy,Red,"3,9",Push Present,2013
,Descendant 2016,"140,64",Australia,Red,"4,3",New Lease,2016
,Les Obriers de la Peira Terrasses du Larzac 2017,"14,52",France,Red,"4,1",Marathon Finish,2017
,Zenas Primitivo 2018,"9,26",Italy,Red,"3,6",Vow Renewal,2018
,Cuvée Confidence Côtes du Rhône Rouge 2017,"8,49",France,Red,"3,7",New Job,2017
,Crémant de Loire Brut 2017,"14,41",France,Sparkling,"3,9",Milestone Birthday,2017
,Vicar's Choice Sauvignon Blanc Bubbles 2019,"11,9",New Zealand,Sparkling,"4,2",Engagement Proposal,2019
,Athesis Brut 2016,"21,5",Italy,Sparkling,4,Wedding Toast,2016
,Riesling Extra Brut 2015,"22,13",Germany,Sparkling,4,Wedding Anniversary,2015
,Brut 2012,"57,51",United States,Sparkling,"3,9",First Housewarming,2012
,Dom Ruinart Rosé Brut Champagne 2007,269,France,Sparkling,"4,4",College Graduation,2007
,Donna Cora Spumante 2011,"41,29",Italy,Sparkling,"3,8",Advanced Degree,2011
,Asti Dolce 2017,"14,87",Italy,Sparkling,"3,6",Retirement Party,2017
,Riesling Brut 2008,"27,95",Germany,Sparkling,"3,7",Passing Board Exam,2008
,Giovanni Galliano Brut Rosé 2016,"22,9",Italy,Sparkling,"3,7",Baby Shower,2016
,Moscato d'Asti 2019,"7,45",Italy,Sparkling,"3,9",Push Present,2019
,San Carlo Moscato d'asti 2017,"9,9",Italy,Sparkling,"3,8",New Lease,2017
,Jolie Extra Dry Spumante 2016,"9,9",Italy,Sparkling,"3,6",Marathon Finish,2016
,Punto Rosa Millesimato 2016,"11,95",Italy,Sparkling,"3,9",Vow Renewal,2016
,Brut Rosé 2016,31,Germany,Sparkling,4,New Job,2016
,Mad Méditerranée Rosé 2019,"10,11",France,Rose,4,Milestone Birthday,2019
,Redoma Rosé 2019,"12,81",Portugal,Rose,"3,9",Engagement Proposal,2019
,Fantini Cerasuolo d'Abruzzo 2019,"5,6",Italy,Rose,"3,6",Wedding Toast,2019
,Mount Hermon Rosé 2017,"12,14",Israel,Rose,"3,4",Wedding Anniversary,2017
,La Villa Rosé 2018,"68,95",France,Rose,"4,6",First Housewarming,2018
,La Rosé de Manincor 2019,"17,5",Italy,Rose,"4,1",College Graduation,2019
,Mea Rosa 2019,"11,45",Italy,Rose,"3,9",Advanced Degree,2019
,Amethystos Rosé 2013,"9,7",Greece,Rose,"3,8",Retirement Party,2013
,Cinsault 2019,"5,56",France,Rose,"3,6",Passing Board Exam,2019
,Rosé 2019,"6,45",South Africa,Rose,"3,5",Baby Shower,2019
,Rosa 2019,"9,91",Austria,Rose,"3,9",Push Present,2019
,Primer Rosé 2018,"25,15",Spain,Rose,"3,9",New Lease,2018
,Réserve Côtes du Rhône Rosé 2018,"8,9",France,Rose,"3,6",Marathon Finish,2018
,Rosé 2016,"3,7",France,Rose,"3,6",Vow Renewal,2016
,Rosé 2019,"7,45",France,Rose,"3,7",New Job,2019
